ID,Date,Close,Clo_by_High_min95,Close_by_Low_min95,1D_r,1D_r_cat,2D_r,2D_r_cat,3D_r,3D_r_cat,5D_r,5D_r_cat,macd_5_3_1,macd_5_3_2,RSI_3,RSI_3_Category,STOC_3_K,STOCK_3_K_CAT,STOCK_7_K-D,CCI_3,CCI_5,NEXTDRET
7837,2/13/2017,2328.25,4.86,5.29,0.52,P10,0.88,P10,1.46,P15,1.56,P25,6.62,0.78,96.1,SHIGH,90.5,SHIGH,0.1,100,116.71,TPOS
7838,2/14/2017,2337.58,5,5.66,0.4,PP50,0.93,P10,1.29,P15,1.94,P25,7.63,0.59,97.4,SHIGH,100,SHIGH,4.6,78.14,94.69,TNEG
7839,2/15/2017,2349.25,4.91,5.62,0.5,PP50,0.9,P10,1.43,P15,2.38,P25,8.64,0.53,98.4,SHIGH,93.1,SHIGH,0.33,100,113.47,TNEG
7840,2/16/2017,2347.22,4.83,5.36,-0.09,NP10,0.41,PP50,0.81,P10,1.71,P25,7.2,-0.3,89.3,HIGH,86,HIGH,-3.1,53.92,85.64,TNEG
7841,2/19/2017,2351.16,5,5.49,0.17,PP25,0.08,PP10,0.58,P10,1.51,P25,6.17,-0.44,91.6,SHIGH,99.1,SHIGH,2.92,100,66,TNEG
7841,2/17/2017,2351.16,5,5.49,0.17,PP25,0.08,PP10,0.58,P10,1.51,P25,6.17,-0.44,91.6,SHIGH,99.1,SHIGH,2.92,100,66,TNEG
7842,2/21/2017,2365.38,4.94,5.44,0.6,P10,0.77,P10,0.69,P10,1.59,P25,7.17,0.19,96.1,SHIGH,95.2,SHIGH,0.56,100,159.56,TNEG
7843,2/22/2017,2362.82,4.9,5.19,-0.11,NP25,0.5,PP50,0.66,P10,1.08,P15,5.88,-0.37,84,HIGH,85.7,HIGH,-4.84,48.81,82.32,TNEG
7844,2/23/2017,2363.81,4.81,5.37,0.04,PP10,-0.07,NP10,0.54,P10,0.62,P10,4.64,-0.54,85.1,HIGH,66.7,HIGH,-2.78,65.19,56.57,TNEG
7845,2/24/2017,2367.34,5,5.61,0.15,PP25,0.19,PP25,0.08,PP10,0.86,P10,4.04,-0.38,89,HIGH,94,SHIGH,4.25,77.46,44.21,TNEG
7846,2/27/2017,2369.73,4.92,5.33,0.1,PP25,0.25,PP50,0.29,PP50,0.79,P10,3.56,-0.28,91.4,SHIGH,90.3,SHIGH,0.44,100,166.67,TNEG
7847,2/28/2017,2363.64,4.82,5.2,-0.26,NP50,-0.16,NP25,-0.01,NP10,-0.07,NP10,1.8,-0.68,50.3,HIGH,57.7,HIGH,-13.72,-34.97,-7.03,TNEG
7848,3/1/2017,2395.96,4.79,5.67,1.37,P15,1.11,P15,1.21,P15,1.4,P15,6.29,1.27,89.1,HIGH,88.1,HIGH,3.13,100,166.67,TNEG
7849,3/2/2017,2381.92,4.46,5.07,-0.59,N1,0.77,P10,0.51,P10,0.77,P10,4.41,-0.21,59.1,HIGH,54.6,HIGH,-14.69,30.18,64.16,TNEG
7850,3/3/2017,2383.12,5.01,5.33,0.05,PP10,-0.54,N1,0.82,P10,0.67,P10,3.24,-0.46,60.8,HIGH,30.2,LOW,-8.06,-91.43,17.19,TNEG
